Country,Per capita(USD)
"Luxembourg","143,743"
"Macao SAR","134,141"
"Ireland","133,895"
"Singapore","133,737"
"Qatar","112,283"
"United Arab Emirates","96,846"
"Switzerland","91,932"
"San Marino","86,989"
"United States","85,373"
"Norway","82,832"
"Guyana","80,137"
"Denmark","77,641"
"Brunei Darussalam","77,534"
"Taiwan","76,858"
"Hong Kong SAR","75,128"
"Netherlands","74,158"
"Iceland","73,784"
"Saudi Arabia","70,333"
"Austria","69,460"
"Sweden","69,177"
"Andorra","69,146"
"Belgium","68,079"
"Malta","67,682"
"Germany","67,245"
"Australia","66,627"
"Bahrain","62,671"
"Finland","60,851"
"Canada","60,495"
"France","60,339"
"South Korea","59,330"
"United Kingdom","58,880"
"Cyprus","58,733"
"Italy","56,905"
"Israel","55,533"
"Aruba","54,716"
"Japan","54,184"
"New Zealand","53,797"
"Slovenia","53,287"
"Kuwait","52,274"
"Spain","52,012"
"Lithuania","50,600"
"Czech Republic","50,475"
"Poland","49,060"
"Portugal","47,070"
"The Bahamas","46,524"
"Croatia","45,702"
"Hungary","45,692"
"Estonia","45,122"
"Panama","44,797"
"Slovak Republic","44,081"
"Türkiye","43,921"
"Puerto Rico","43,219"
"Romania","43,179"
"Seychelles","43,151"
"Latvia","41,730"
"Greece","41,188"
"Oman","39,859"
"Malaysia","39,030"
"St. Kitts and Nevis","38,870"
"Russia","38,292"
"Maldives","37,433"
"Bulgaria","35,963"
"Kazakhstan","34,534"
"Trinidad and Tobago","32,685"
"Mauritius","32,094"
"Chile","31,005"
"Uruguay","30,170"
"Montenegro","29,696"
"Costa Rica","28,558"
"Serbia","27,985"
"Antigua and Barbuda","27,309"
"Dominican Republic","27,120"
"Libya","26,456"
"Argentina","26,390"
"Mexico","25,963"
"Belarus","25,685"
"Georgia","25,248"
"China","25,015"
"Thailand","23,401"
"North Macedonia","22,249"
"Grenada","21,799"
"Armenia","21,746"
"Islamic Republic of Iran","21,220"
"Brazil","20,809"
"Albania","20,632"
"Bosnia and Herzegovina","20,623"
"Barbados","20,592"
"Botswana","20,097"
"Colombia","19,770"
"Turkmenistan","19,729"
"St. Lucia","19,718"
"Gabon","19,452"
"Azerbaijan","19,328"
"St. Vincent and the Grenadines","19,196"
"Suriname","18,928"
"Equatorial Guinea","18,378"
"Moldova","17,902"
"Egypt","17,614"
"Fiji","17,403"
"Palau","17,381"
"Indonesia","16,861"
"Kosovo","16,775"
"Peru","16,631"
"Mongolia","16,504"
"Algeria","16,483"
"South Africa","16,424"
"Paraguay","16,291"
"Bhutan","15,978"
"Vietnam","15,470"
"Ukraine","15,464"
"Dominica","15,280"
"Ecuador","14,485"
"Tunisia","13,645"
"Jamaica","13,543"
"Eswatini","12,637"
"El Salvador","12,561"
"Jordan","12,402"
"Philippines","12,192"
"Namibia","12,008"
"Iraq","11,937"
"Belize","11,320"
"Guatemala","11,006"
"Morocco","10,947"
"Uzbekistan","10,936"
"Nauru","10,823"
"Bolivia","10,693"
"Cabo Verde","10,304"
"Lao P.D.R.","10,242"
"India","10,123"
"Bangladesh","9,416"
"Venezuela","8,486"
"Cambodia","8,287"
"Nicaragua","8,137"
"Djibouti","7,707"
"Mauritania","7,680"
"Honduras","7,503"
"Tonga","7,462"
"Ghana","7,156"
"Angola","7,153"
"Kenya","6,976"
"Pakistan","6,955"
"Côte d’Ivoire","6,860"
"Kyrgyz Republic","6,790"
"Samoa","6,721"
"Nigeria","6,340"
"Marshall Islands","6,313"
"Tuvalu","6,056"
"Tajikistan","5,832"
"Myanmar","5,203"
"Nepal","5,032"
"Cameroon","4,842"
"Republic of Congo","4,740"
"Micronesia","4,691"
"Senegal","4,661"
"Benin","4,558"
"Zambia","4,361"
"São Tomé and Príncipe","4,238"
"Ethiopia","4,020"
"Timor-Leste","3,767"
"Tanzania","3,746"
"Kiribati","3,614"
"Papua New Guinea","3,534"
"Comoros","3,532"
"Sudan","3,443"
"Rwanda","3,367"
"Guinea","3,366"
"Uganda","3,345"
"Guinea-Bissau","3,239"
"Lesotho","3,227"
"Haiti","3,108"
"The Gambia","2,993"
"Zimbabwe","2,975"
"Vanuatu","2,939"
"Togo","2,911"
"Burkina Faso","2,781"
"Mali","2,714"
"Solomon Islands","2,713"
"Chad","2,620"
"Sierra Leone","2,189"
"Somalia","2,062"
"Yemen","1,996"
"Madagascar","1,979"
"Liberia","1,882"
"Malawi","1,712"
"Niger","1,675"
"Mozambique","1,649"
"Democratic Republic of the Congo","1,552"
"Central African Republic","1,123"
"Burundi","916"
"South Sudan","455"
"Afghanistan","0"
"Eritrea","0"
"Lebanon","0"
"Sri Lanka","0"
"Syria","0"
"West Bank and Gaza","0"
